company_name,a_code,h_code,status,source
渝农商行,601077,03618,active,validated_202_snapshot_2026-07-30
中国神华,601088,01088,active,validated_202_snapshot_2026-07-30
四川成渝,601107,00107,active,validated_202_snapshot_2026-07-30
中国国航,601111,00753,active,validated_202_snapshot_2026-07-30
赛力斯,601127,09927,active,validated_202_snapshot_2026-07-30
XD中国铁,601186,01186,active,validated_202_snapshot_2026-07-30
国泰海通,601211,02611,active,validated_202_snapshot_2026-07-30
广汽集团,601238,02238,active,validated_202_snapshot_2026-07-30
农业银行,601288,01288,active,validated_202_snapshot_2026-07-30
青岛港,601298,06198,active,validated_202_snapshot_2026-07-30
中国平安,601318,02318,active,validated_202_snapshot_2026-07-30
中国人保,601319,01339,active,validated_202_snapshot_2026-07-30
秦港股份,601326,03369,active,validated_202_snapshot_2026-07-30
交通银行,601328,03328,active,validated_202_snapshot_2026-07-30
绿色动力,601330,01330,active,validated_202_snapshot_2026-07-30
广深铁路,601333,00525,active,validated_202_snapshot_2026-07-30
新华保险,601336,01336,active,validated_202_snapshot_2026-07-30
中原证券,601375,01375,active,validated_202_snapshot_2026-07-30
中国中铁,601390,00390,active,validated_202_snapshot_2026-07-30
工商银行,601398,01398,active,validated_202_snapshot_2026-07-30
XD国联民,601456,01456,active,validated_202_snapshot_2026-07-30
北辰实业,601588,00588,active,validated_202_snapshot_2026-07-30
中国外运,601598,00598,active,validated_202_snapshot_2026-07-30
中国铝业,601600,02600,active,validated_202_snapshot_2026-07-30
中国太保,601601,02601,active,validated_202_snapshot_2026-07-30
上海医药,601607,02607,active,validated_202_snapshot_2026-07-30
中国中冶,601618,01618,active,validated_202_snapshot_2026-07-30
中国人寿,601628,02628,active,validated_202_snapshot_2026-07-30
长城汽车,601633,02333,active,validated_202_snapshot_2026-07-30
邮储银行,601658,01658,active,validated_202_snapshot_2026-07-30
滨化股份,601678,06745,active,validated_202_snapshot_2026-07-30
华泰证券,601688,06886,active,validated_202_snapshot_2026-07-30
中创智领,601717,00564,active,validated_202_snapshot_2026-07-30
上海电气,601727,02727,active,validated_202_snapshot_2026-07-30
中国电信,601728,00728,active,validated_202_snapshot_2026-07-30
中国中车,601766,01766,active,validated_202_snapshot_2026-07-30
光大证券,601788,06178,active,validated_202_snapshot_2026-07-30
中国交建,601800,01800,active,validated_202_snapshot_2026-07-30
中海油服,601808,02883,active,validated_202_snapshot_2026-07-30
新华文轩,601811,00811,active,validated_202_snapshot_2026-07-30
