company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_601088_01088,中国神华,601088,01088,SH,601088.SS,01088.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600941_00941,中国移动,600941,00941,SH,600941.SS,00941.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601868_03996,中国能建,601868,03996,SH,601868.SS,03996.HK,建筑工程,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688009_03969,中国通号,688009,03969,SH,688009.SS,03969.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601600_02600,中国铝业,601600,02600,SH,601600.SS,02600.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601881_06881,中国银河,601881,06881,SH,601881.SS,06881.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601988_03988,中国银行,601988,03988,SH,601988.SS,03988.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601808_02883,中海油服,601808,02883,SH,601808.SS,02883.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601898_01898,中煤能源,601898,01898,SH,601898.SS,01898.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000157_01157,中联重科,000157,01157,SZ,000157.SZ,01157.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600685_00317,中船防务,600685,00317,SH,600685.SS,00317.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688981_00981,中芯国际,688981,00981,SH,688981.SS,00981.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601866_02866,中远海发,601866,02866,SH,601866.SS,02866.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601919_01919,中远海控,601919,01919,SH,601919.SS,01919.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600026_01138,中远海能,600026,01138,SH,600026.SS,01138.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601995_03908,中金公司,601995,03908,SH,601995.SS,03908.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601068_02068,中铝国际,601068,02068,SH,601068.SS,02068.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300308_03308,中际旭创,300308,03308,SZ,300308.SZ,03308.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000039_02039,中集集团,000039,02039,SZ,000039.SZ,02039.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000513_01513,丽珠集团,000513,01513,SZ,000513.SZ,01513.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601328_03328,交通银行,601328,03328,SH,601328.SS,03328.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600860_00187,京城股份,600860,00187,SH,600860.SS,00187.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688339_02402,亿华通-U,688339,02402,SH,688339.SS,02402.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_003021_02692,兆威机电,003021,02692,SZ,003021.SZ,02692.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603986_03986,兆易创新,603986,03986,SH,603986.SS,03986.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300450_00470,先导智能,300450,00470,SZ,300450.SZ,00470.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601788_06178,光大证券,601788,06178,SH,601788.SS,06178.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601818_06818,光大银行,601818,06818,SH,601818.SS,06818.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600188_01171,兖矿能源,600188,01171,SH,600188.SS,01171.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601288_01288,农业银行,601288,01288,SH,601288.SS,01288.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600876_01108,凯盛新能,600876,01108,SH,600876.SS,01108.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002821_06821,凯莱英,002821,06821,SZ,002821.SZ,06821.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600874_01065,创业环保,600874,01065,SH,600874.SS,01065.HK,房地产与公用,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
